"","year","province","provincecode","gobernadore","partido","division","sex","name2","surname3"
"370",2012,"CORDOBA",6,"Juan Manuel de la Sota","Unión por Córdoba","MINISTERIO DE EDUCACIÓN","M","GRAHOVAC","GRAHOVAC"
"371",2012,"CORDOBA",6,"Juan Manuel de la Sota","Unión por Córdoba","MINISTERIO DE FINANZAS","M","ELETTORE","ELETTORE"
"372",2012,"CORDOBA",6,"Juan Manuel de la Sota","Unión por Córdoba","MINISTERIO DE INFRAESTRUCTURA","M","TESTA","TESTA"
"373",2012,"CORDOBA",6,"Juan Manuel de la Sota","Unión por Córdoba","MINISTERIO DE JUSTICIA Y DERECHOS HUMANOS","F","CHAYEP","CHAYEP"
"374",2012,"CORDOBA",6,"Juan Manuel de la Sota","Unión por Córdoba","MINISTERIO DE SALUD","M","SIMON","SIMON"
"375",2012,"CORDOBA",6,"Juan Manuel de la Sota","Unión por Córdoba","MINISTERIO DE TRABAJO","M","DRAGÚN","DRAGÚN"
"376",2012,"CORDOBA",6,"Juan Manuel de la Sota","Unión por Córdoba","MINISTERIO DE SEGURIDAD","M","PAREDES","PAREDES"
"377",2013,"CORDOBA",6,"Juan Manuel de la Sota","Unión por Córdoba","MINISTERIO DE COMUNICACIÓN Y DESARROLLO ESTRATÉGICO","M","ALBERTO","LAWSON"
"378",2013,"CORDOBA",6,"Juan Manuel de la Sota","Unión por Córdoba","MINISTERIO DE GESTIÓN PÚBLICA","M","FERNANDO","CALVO"
"379",2013,"CORDOBA",6,"Juan Manuel de la Sota","Unión por Córdoba","MINISTERIO DE INDUSTRIA, COMERCIO, MINERÍA Y DESARROLLO CIENTÍFICO","M","MIGUEL","LLARYORA"
"380",2013,"CORDOBA",6,"Juan Manuel de la Sota","Unión por Córdoba","MINISTERIO DE GOBIERNO Y SEGURIDAD","M","EDUARDO","SAIEG"
"381",2013,"CORDOBA",6,"Juan Manuel de la Sota","Unión por Córdoba","MINISTERIO DE AGRICULTURA, GANADERÍA Y ALIMENTOS","M","MARÍA","LÓPEZ"
"382",2013,"CORDOBA",6,"Juan Manuel de la Sota","Unión por Córdoba","MINISTERIO DE AGUA, AMBIENTE Y SERVICIOS PÚBLICOS","M","LÓPEZ","LÓPEZ"
"383",2013,"CORDOBA",6,"Juan Manuel de la Sota","Unión por Córdoba","MINISTERIO DE DESARROLLO SOCIAL","M","PASSERINI","PASSERINI"
"384",2013,"CORDOBA",6,"Juan Manuel de la Sota","Unión por Córdoba","MINISTERIO DE EDUCACIÓN","M","GRAHOVAC","GRAHOVAC"
"385",2013,"CORDOBA",6,"Juan Manuel de la Sota","Unión por Córdoba","MINISTERIO DE FINANZAS","M","ELETTORE","ELETTORE"
"386",2013,"CORDOBA",6,"Juan Manuel de la Sota","Unión por Córdoba","MINISTERIO DE INFRAESTRUCTURA","M","TESTA","TESTA"
"387",2013,"CORDOBA",6,"Juan Manuel de la Sota","Unión por Córdoba","MINISTERIO DE JUSTICIA Y DERECHOS HUMANOS","F","CHAYEP","CHAYEP"
"388",2013,"CORDOBA",6,"Juan Manuel de la Sota","Unión por Córdoba","MINISTERIO DE SALUD","M","FORTUNA","FORTUNA"
"389",2013,"CORDOBA",6,"Juan Manuel de la Sota","Unión por Córdoba","MINISTERIO DE TRABAJO","M","JESÚS","BRITO"
"390",2013,"CORDOBA",6,"Juan Manuel de la Sota","Unión por Córdoba","MINISTERIO DE COMUNICACIÓN Y DESARROLLO ESTRATÉGICO","M","ALBERTO","LAWSON"
"391",2014,"CORDOBA",6,"Juan Manuel de la Sota","Unión por Córdoba","MINISTERIO DE GESTIÓN PÚBLICA","M","FERNANDO","CALVO"
"392",2014,"CORDOBA",6,"Juan Manuel de la Sota","Unión por Córdoba","MINISTERIO DE INDUSTRIA, COMERCIO, MINERÍA Y DESARROLLO CIENTÍFICO","M","MIGUEL","LLARYORA"
"393",2014,"CORDOBA",6,"Juan Manuel de la Sota","Unión por Córdoba","MINISTERIO DE GOBIERNO Y SEGURIDAD","M","EDUARDO","SAIEG"
"394",2014,"CORDOBA",6,"Juan Manuel de la Sota","Unión por Córdoba","MINISTERIO DE AGRICULTURA, GANADERÍA Y ALIMENTOS","M","MARÍA","LÓPEZ"
"395",2014,"CORDOBA",6,"Juan Manuel de la Sota","Unión por Córdoba","MINISTERIO DE AGUA, AMBIENTE Y SERVICIOS PÚBLICOS","M","LÓPEZ","LÓPEZ"
"396",2014,"CORDOBA",6,"Juan Manuel de la Sota","Unión por Córdoba","MINISTERIO DE DESARROLLO SOCIAL","M","PASSERINI","PASSERINI"
"397",2014,"CORDOBA",6,"Juan Manuel de la Sota","Unión por Córdoba","MINISTERIO DE EDUCACIÓN","M","GRAHOVAC","GRAHOVAC"
"398",2014,"CORDOBA",6,"Juan Manuel de la Sota","Unión por Córdoba","MINISTERIO DE FINANZAS","M","ELETTORE","ELETTORE"
"399",2014,"CORDOBA",6,"Juan Manuel de la Sota","Unión por Córdoba","MINISTERIO DE INFRAESTRUCTURA","M","TESTA","TESTA"
"400",2014,"CORDOBA",6,"Juan Manuel de la Sota","Unión por Córdoba","MINISTERIO DE JUSTICIA Y DERECHOS HUMANOS","F","CHAYEP","CHAYEP"
"401",2014,"CORDOBA",6,"Juan Manuel de la Sota","Unión por Córdoba","MINISTERIO DE SALUD","M","FORTUNA","FORTUNA"
"402",2014,"CORDOBA",6,"Juan Manuel de la Sota","Unión por Córdoba","MINISTERIO DE TRABAJO","M","JESÚS","BRITO"
"403",2008,"CORRIENTES",7,"Arturo Colombi","Frente de Todos","MINISTERIO DE GOBIERNO Y JUSTICIA","M","WALTER","INSAURRALDE"
"404",2008,"CORRIENTES",7,"Arturo Colombi","Frente de Todos","MINISTERIO DE HACIENDA Y FINANZAS","M","SERGIO","TRESSENS"
"405",2008,"CORRIENTES",7,"Arturo Colombi","Frente de Todos","MINISTERIO DE PRODUCCION, TRABAJO Y TURISMO","M","ALFREDO","AUN"
"406",2008,"CORRIENTES",7,"Arturo Colombi","Frente de Todos","MINISTERIO DE SALUD PUBLICA","M","ADOLFO","SCHNEIDER"
"407",2008,"CORRIENTES",7,"Arturo Colombi","Frente de Todos","MINISTERIO OBRAS Y SERVICIOS PUBLICOS","M","MARCELO","FALCIONE"
"408",2008,"CORRIENTES",7,"Arturo Colombi","Frente de Todos","MINISTERIO DE EDUCACION Y CULTURA","F","VIRGINIA","COLOMBI"
"409",2008,"CORRIENTES",7,"Arturo Colombi","Frente de Todos","MINISTERIO DE GOBERNACIÓN","M","FAGÚNDEZ","FAGÚNDEZ"
"410",2009,"CORRIENTES",7,"Arturo Colombi","Frente de Todos","MINISTERIO DE GOBIERNO Y JUSTICIA","M","WALTER","INSAURRALDE"
"411",2009,"CORRIENTES",7,"Arturo Colombi","Frente de Todos","MINISTERIO DE HACIENDA Y FINANZAS","M","SERGIO","TRESSENS"
"412",2009,"CORRIENTES",7,"Arturo Colombi","Frente de Todos","MINISTERIO DE PRODUCCION, TRABAJO Y TURISMO","M","ALFREDO","AUN"
"413",2009,"CORRIENTES",7,"Arturo Colombi","Frente de Todos","MINISTERIO DE SALUD PUBLICA","M","ADOLFO","SCHNEIDER"
"414",2009,"CORRIENTES",7,"Arturo Colombi","Frente de Todos","MINISTERIO OBRAS Y SERVICIOS PUBLICOS","M","MARCELO","FALCIONE"
"415",2009,"CORRIENTES",7,"Arturo Colombi","Frente de Todos","MINISTERIO DE EDUCACION Y CULTURA","F","VIRGINIA","COLOMBI"
"416",2009,"CORRIENTES",7,"Arturo Colombi","Frente de Todos","MINISTERIO DE GOBERNACIÓN","M","FAGÚNDEZ","FAGÚNDEZ"
"417",2010,"CORRIENTES",7,"Ricardo Colombi","Encuentro por Corrientes","MINISTERIO DE GOBERNACIÓN","M","FAGÚNDEZ","FAGÚNDEZ"
"418",2010,"CORRIENTES",7,"Ricardo Colombi","Encuentro por Corrientes","MINISTERIO DE SALUD PÚBLICA","M","SCHNEIDER","SCHNEIDER"
"419",2010,"CORRIENTES",7,"Ricardo Colombi","Encuentro por Corrientes","MINISTERIO DE HACIENDA Y FINANZAS","M","TRESSENS","TRESSENS"
"420",2010,"CORRIENTES",7,"Ricardo Colombi","Encuentro por Corrientes","MINISTERIO DE EDUCACIÓN Y CULTURA","F","VIRGINIA","ALMARÁ"
"421",2010,"CORRIENTES",7,"Ricardo Colombi","Encuentro por Corrientes","MINISTERIO DE GOBIERNO Y JUSTICIA","M","INSAURRALDE","INSAURRALDE"
"422",2010,"CORRIENTES",7,"Ricardo Colombi","Encuentro por Corrientes","MINISTERIO DE LA PRODUCCIÓN, TRABAJO Y TURISMO","M","AUN","AUN"
"423",2010,"CORRIENTES",7,"Ricardo Colombi","Encuentro por Corrientes","MINISTERIO DE OBRAS Y SERVICIOS Y PÚBLICOS","M","FALCIONE","FALCIONE"
"424",2012,"CORRIENTES",7,"Ricardo Colombi","Encuentro por Corrientes","MINISTERIO DE GOBERNACIÓN","M","JOSÉ","VIGNOLO"
"425",2012,"CORRIENTES",7,"Ricardo Colombi","Encuentro por Corrientes","MINISTERIO DE SALUD PÚBLICA","M","DINDART","DINDART"
"426",2012,"CORRIENTES",7,"Ricardo Colombi","Encuentro por Corrientes","MINISTERIO DE HACIENDA Y FINANZAS","M","ENRIQUE","TORRES"
"427",2012,"CORRIENTES",7,"Ricardo Colombi","Encuentro por Corrientes","MINISTERIO DE EDUCACIÓN Y CULTURA","M","MACCIÓ","MACCIÓ"
"428",2012,"CORRIENTES",7,"Ricardo Colombi","Encuentro por Corrientes","MINISTERIO DE GOBIERNO Y JUSTICIA","M","ADOLFO","VALDÉS"
"429",2012,"CORRIENTES",7,"Ricardo Colombi","Encuentro por Corrientes","MINISTERIO DE LA PRODUCCIÓN, TRABAJO Y TURISMO","M","ALBERTO","VARA"
"430",2012,"CORRIENTES",7,"Ricardo Colombi","Encuentro por Corrientes","MINISTERIO DE OBRAS Y SERVICIOS Y PÚBLICOS","M","DANIEL","GODOY"
"431",2014,"CORRIENTES",7,"Ricardo Colombi","Encuentro por Corrientes","MINISTERIO DE COORDINACIÓN Y PLANIFICACIÓN","M","ALEJANDRO","VISCHI"
"432",2014,"CORRIENTES",7,"Ricardo Colombi","Encuentro por Corrientes","MINISTERIO DE GOBERNACIÓN","M","JOSÉ","VIGNOLO"
"433",2014,"CORRIENTES",7,"Ricardo Colombi","Encuentro por Corrientes","MINISTERIO DE SALUD PÚBLICA","M","DINDART","DINDART"
"434",2014,"CORRIENTES",7,"Ricardo Colombi","Encuentro por Corrientes","MINISTERIO DE HACIENDA Y FINANZAS","M","ENRIQUE","TORRES"
"435",2014,"CORRIENTES",7,"Ricardo Colombi","Encuentro por Corrientes","MINISTERIO DE INDUSTRIA, TRABAJO Y COMERCIO","M","IGNACIO","OSELLA"
"436",2014,"CORRIENTES",7,"Ricardo Colombi","Encuentro por Corrientes","MINISTERIO DE EDUCACIÓN Y CULTURA","M","ÁNGEL","MACCIÓ"
"437",2014,"CORRIENTES",7,"Ricardo Colombi","Encuentro por Corrientes","MINISTERIO DE DESARROLLO SOCIAL","M","MARTÍN","MOULIÁ"
"438",2014,"CORRIENTES",7,"Ricardo Colombi","Encuentro por Corrientes","MINISTERIO DE GOBIERNO Y SEGURIDAD","M","ADOLFO","VALDÉS"
"439",2014,"CORRIENTES",7,"Ricardo Colombi","Encuentro por Corrientes","MINISTERIO DE JUSTICIA Y DERECHOS HUMANOS","M","OSCAR","QUINTANA"
"440",2014,"CORRIENTES",7,"Ricardo Colombi","Encuentro por Corrientes","MINISTERIO DE LA PRODUCCIÓN, TRABAJO Y TURISMO","M","ALBERTO","VARA"
"441",2014,"CORRIENTES",7,"Ricardo Colombi","Encuentro por Corrientes","MINISTERIO DE SEGURIDAD COMUNITARIA","M","PEDRO","POCCARD"
"442",2014,"CORRIENTES",7,"Ricardo Colombi","Encuentro por Corrientes","MINISTERIO DE OBRAS Y SERVICIOS Y PÚBLICOS","M","DANIEL","GODOY"
"443",2014,"CORRIENTES",7,"Ricardo Colombi","Encuentro por Corrientes","MINISTERIO DE TURISMO","F","JUANA","PRESMAN"
"444",2008,"ENTRE RIOS",8,"Sergio Urribarri","Frente Justicialista para la Victoria","MINISTERIO DE ECONOMIA, HACIENDA Y FINANZAS","M","DIEGO","VALIERO"
"445",2008,"ENTRE RIOS",8,"Sergio Urribarri","Frente Justicialista para la Victoria","MINISTERIO DE GOBIERNO,  JUSTICIA, EDUCACION, OBRAS Y SERV. PUBLICOS","M","ADAN","BAHL"
"446",2008,"ENTRE RIOS",8,"Sergio Urribarri","Frente Justicialista para la Victoria","MINISTERIO DE SALUD Y ACCION SOCIAL","M","ANGEL","GIANO"
"447",2009,"ENTRE RIOS",8,"Sergio Urribarri","Frente Justicialista para la Victoria","MINISTERIO DE ECONOMIA, HACIENDA Y FINANZAS","M","DIEGO","VALIERO"
"448",2009,"ENTRE RIOS",8,"Sergio Urribarri","Frente Justicialista para la Victoria","MINISTERIO DE GOBIERNO,  JUSTICIA, EDUCACION, OBRAS Y SERV. PUBLICOS","M","ADAN","BAHL"
"449",2009,"ENTRE RIOS",8,"Sergio Urribarri","Frente Justicialista para la Victoria","MINISTERIO DE SALUD Y ACCION SOCIAL","M","ANGEL","GIANO"
"450",2010,"ENTRE RIOS",8,"Sergio Urribarri","Frente Justicialista para la Victoria","MINISTERIO DE GOBIERNO, JUSTICIA, EDUCACIÓN, OBRAS Y SERVICIOS PÚBLICOS","M","HUMBERTO","PÚBLICOS)"
"451",2010,"ENTRE RIOS",8,"Sergio Urribarri","Frente Justicialista para la Victoria","MINISTERIO DE ECONOMÍA, HACIENDA Y FINANZAS","M","ENRIQUE","VALIERO"
"452",2010,"ENTRE RIOS",8,"Sergio Urribarri","Frente Justicialista para la Victoria","MINISTERIO DE SALUD Y ACCION SOCIAL","M","FRANCISCO","SOCIAL)"
"453",2011,"ENTRE RIOS",8,"Sergio Urribarri","Frente Justicialista para la Victoria","MINISTERIO DE GOBIERNO, JUSTICIA, EDUCACIÓN, OBRAS Y SERVICIOS PÚBLICOS","M","HUMBERTO","PÚBLICOS)"
"454",2011,"ENTRE RIOS",8,"Sergio Urribarri","Frente Justicialista para la Victoria","MINISTERIO DE ECONOMÍA, HACIENDA Y FINANZAS","M","ENRIQUE","VALIERO"
"455",2011,"ENTRE RIOS",8,"Sergio Urribarri","Frente Justicialista para la Victoria","MINISTERIO DE SALUD Y ACCION SOCIAL","M","FRANCISCO","SOCIAL)"
"456",2012,"ENTRE RIOS",8,"Sergio Urribarri","Frente para la Victoria","MINISTERIO DE GOBIERNO Y JUSTICIA","M","HUMBERTO","BAHL"
"457",2012,"ENTRE RIOS",8,"Sergio Urribarri","Frente para la Victoria","MINISTERIO DE EDUCACIÓN, DEPORTES Y PREVENCIÓN DE ADICCIONES","M","EDUARDO","LAURITTO"
"458",2012,"ENTRE RIOS",8,"Sergio Urribarri","Frente para la Victoria","MINISTERIO DE CULTURA Y COMUNICACIÓN","M","BAEZ","BAEZ"
"459",2012,"ENTRE RIOS",8,"Sergio Urribarri","Frente para la Victoria","MINISTERIO DE ECONOMÍA, HACIENDA Y FINANZAS","M","ENRIQUE","VALIERO"
"460",2012,"ENTRE RIOS",8,"Sergio Urribarri","Frente para la Victoria","MINISTERIO DE DESARROLLO SOCIAL","M","GUSTAVO","RAMOS"
"461",2012,"ENTRE RIOS",8,"Sergio Urribarri","Frente para la Victoria","MINISTERIO DE SALUD","M","RAMÓN","CETTOUR"
"462",2012,"ENTRE RIOS",8,"Sergio Urribarri","Frente para la Victoria","MINISTERIO DE PLANEAMIENTO, INFRAESTRUCTURA Y SERVICIOS","M","JAVIER","GARCÍA"
"463",2012,"ENTRE RIOS",8,"Sergio Urribarri","Frente para la Victoria","MINISTERIO DE PRODUCCIÓN","M","EMILIO","SCHUNK"
"464",2012,"ENTRE RIOS",8,"Sergio Urribarri","Frente para la Victoria","MINISTERIO DE TURISMO","M","JOSÉ","MARSÓ"
"465",2012,"ENTRE RIOS",8,"Sergio Urribarri","Frente para la Victoria","MINISTERIO DE TRABAJO","M","SMALDONE","SMALDONE"
"466",2013,"ENTRE RIOS",8,"Sergio Urribarri","Frente para la Victoria","MINISTERIO DE DESARROLLO HUMANO","M","ANIBAL","GOMEZ"
"467",2013,"ENTRE RIOS",8,"Sergio Urribarri","Frente para la Victoria","MINISTERIO DE EDUCACIÓN, DEPORTES Y PREVENCIÓN DE ADICCIONES","M","EDUARDO","LAURITTO"
"468",2013,"ENTRE RIOS",8,"Sergio Urribarri","Frente para la Victoria","MINISTERIO DE CULTURA Y COMUNICACIÓN","M","BAEZ","BAEZ"
"469",2013,"ENTRE RIOS",8,"Sergio Urribarri","Frente para la Victoria","MINISTERIO DE ECONOMÍA, HACIENDA Y FINANZAS","M","ENRIQUE","VALIERO"
"470",2013,"ENTRE RIOS",8,"Sergio Urribarri","Frente para la Victoria","MINISTERIO DE DESARROLLO SOCIAL","M","GUSTAVO","RAMOS"
"471",2013,"ENTRE RIOS",8,"Sergio Urribarri","Frente para la Victoria","MINISTERIO DE SALUD","M","RAMÓN","CETTOUR"
"472",2013,"ENTRE RIOS",8,"Sergio Urribarri","Frente para la Victoria","MINISTERIO DE PLANEAMIENTO, INFRAESTRUCTURA Y SERVICIOS","M","JAVIER","GARCÍA"
"473",2013,"ENTRE RIOS",8,"Sergio Urribarri","Frente para la Victoria","MINISTERIO DE PRODUCCIÓN","M","EMILIO","SCHUNK"
"474",2013,"ENTRE RIOS",8,"Sergio Urribarri","Frente para la Victoria","MINISTERIO DE TURISMO","M","JOSÉ","MARSÓ"
"475",2013,"ENTRE RIOS",8,"Sergio Urribarri","Frente para la Victoria","MINISTERIO DE TRABAJO","M","SMALDONE","SMALDONE"
"476",2014,"ENTRE RIOS",8,"Sergio Urribarri","Frente para la Victoria","MINISTERIO DE DESARROLLO HUMANO","M","ANIBAL","GOMEZ"
"477",2014,"ENTRE RIOS",8,"Sergio Urribarri","Frente para la Victoria","MINISTERIO DE EDUCACIÓN, DEPORTES Y PREVENCIÓN DE ADICCIONES","M","EDUARDO","LAURITTO"
"478",2014,"ENTRE RIOS",8,"Sergio Urribarri","Frente para la Victoria","MINISTERIO DE CULTURA Y COMUNICACIÓN","M","BAEZ","BAEZ"
"479",2014,"ENTRE RIOS",8,"Sergio Urribarri","Frente para la Victoria","MINISTERIO DE ECONOMÍA, HACIENDA Y FINANZAS","M","ENRIQUE","VALIERO"
"480",2014,"ENTRE RIOS",8,"Sergio Urribarri","Frente para la Victoria","MINISTERIO DE DESARROLLO SOCIAL","M","GUSTAVO","RAMOS"
"481",2014,"ENTRE RIOS",8,"Sergio Urribarri","Frente para la Victoria","MINISTERIO DE SALUD","M","RAMÓN","CETTOUR"
"482",2014,"ENTRE RIOS",8,"Sergio Urribarri","Frente para la Victoria","MINISTERIO DE PLANEAMIENTO, INFRAESTRUCTURA Y SERVICIOS","M","JAVIER","GARCÍA"
"483",2014,"ENTRE RIOS",8,"Sergio Urribarri","Frente para la Victoria","MINISTERIO DE PRODUCCIÓN","M","EMILIO","SCHUNK"
"484",2014,"ENTRE RIOS",8,"Sergio Urribarri","Frente para la Victoria","MINISTERIO DE TURISMO","M","JOSÉ","MARSÓ"
"485",2014,"ENTRE RIOS",8,"Sergio Urribarri","Frente para la Victoria","MINISTERIO DE TRABAJO","M","SMALDONE","SMALDONE"
"486",2008,"FORMOSA",9,"Gildo Insfrán","Frente para la Victoria","MINISTERIO DE DESARROLLO HUMANO","M","ANIBAL","GOMEZ"
"487",2008,"FORMOSA",9,"Gildo Insfrán","Frente para la Victoria","MINISTERIO DE GOBIERNO, JUSTICIA Y TRABAJO","M","JORGE","GONZALEZ"
"488",2008,"FORMOSA",9,"Gildo Insfrán","Frente para la Victoria","MINISTERIO DE LA PRODUCCION","M","LUIS","BASTERRA"
"489",2008,"FORMOSA",9,"Gildo Insfrán","Frente para la Victoria","MINISTERIO DE PLANIFICACION, INVERSION, OBRAS Y SV.PUBLICOS","M","JORGE","IBAÑEZ"
"490",2008,"FORMOSA",9,"Gildo Insfrán","Frente para la Victoria","MINISTERIO DE TURISMO","M","ALBERTO","ARECO"
"491",2008,"FORMOSA",9,"Gildo Insfrán","Frente para la Victoria","MINISTERIO SECRETARIA GENERAL DEL PODER EJECUTIVO","M","ANTONIO","FERREIRA"
"492",2008,"FORMOSA",9,"Gildo Insfrán","Frente para la Victoria","MINISTERIO DE CULTURA Y EDUCACION","F","OLGA","CABRERA"
"493",2008,"FORMOSA",9,"Gildo Insfrán","Frente para la Victoria","MINISTERIO DE ECONOMIA, HACIENDA Y FINANZAS","F","INES","VECHIETTI"
"494",2009,"FORMOSA",9,"Gildo Insfrán","Frente para la Victoria","MINISTERIO DE LA COMUNIDAD","M","MARCELO","ZORRILLA"
"495",2009,"FORMOSA",9,"Gildo Insfrán","Frente para la Victoria","MINISTERIO DE ECONOMÍA, HACIENDA Y FINANZAS","F","BEATRIZ","VECCHIETTI"
"496",2009,"FORMOSA",9,"Gildo Insfrán","Frente para la Victoria","MINISTERIO DE TURISMO","M","ANDRÉS","ARECO"
"497",2009,"FORMOSA",9,"Gildo Insfrán","Frente para la Victoria","MINISTERIO DE CULTURA Y EDUCACIÓN","F","ISABEL","CABRERA"
"498",2009,"FORMOSA",9,"Gildo Insfrán","Frente para la Victoria","MINISTERIO DE DESARROLLO HUMANO","M","FRANCISCO","GÓMEZ"
"499",2009,"FORMOSA",9,"Gildo Insfrán","Frente para la Victoria","MINISTERIO DE GOBIERNO, JUSTICIA, SEGURIDAD Y TRABAJO","M","ABEL","GONZÁLEZ"
"500",2009,"FORMOSA",9,"Gildo Insfrán","Frente para la Victoria","MINISTERIO DE PLANIFICACIÓN, INVERSIÓN, SERVICIOS Y OBRAS PÚBLICAS","M","OSCAR","IBAÑEZ"
"501",2009,"FORMOSA",9,"Gildo Insfrán","Frente para la Victoria","MINISTERIO DE LA PRODUCCIÓN Y AMBIENTE","M","OMAR","QUINTANA"
"502",2010,"FORMOSA",9,"Gildo Insfrán","Frente para la Victoria","MINISTERIO DE LA COMUNIDAD","M","MARCELO","ZORRILLA"
"503",2010,"FORMOSA",9,"Gildo Insfrán","Frente para la Victoria","MINISTERIO DE ECONOMÍA, HACIENDA Y FINANZAS","F","BEATRIZ","VECCHIETTI"
"504",2010,"FORMOSA",9,"Gildo Insfrán","Frente para la Victoria","MINISTERIO DE TURISMO","M","ANDRÉS","ARECO"
"505",2010,"FORMOSA",9,"Gildo Insfrán","Frente para la Victoria","MINISTERIO DE CULTURA Y EDUCACIÓN","F","ISABEL","CABRERA"
"506",2010,"FORMOSA",9,"Gildo Insfrán","Frente para la Victoria","MINISTERIO DE DESARROLLO HUMANO","M","FRANCISCO","GÓMEZ"
"507",2010,"FORMOSA",9,"Gildo Insfrán","Frente para la Victoria","MINISTERIO DE GOBIERNO, JUSTICIA, SEGURIDAD Y TRABAJO","M","ABEL","GONZÁLEZ"
"508",2010,"FORMOSA",9,"Gildo Insfrán","Frente para la Victoria","MINISTERIO DE PLANIFICACIÓN, INVERSIÓN, SERVICIOS Y OBRAS PÚBLICAS","M","OSCAR","IBAÑEZ"
"509",2010,"FORMOSA",9,"Gildo Insfrán","Frente para la Victoria","MINISTERIO DE LA PRODUCCIÓN Y AMBIENTE","M","OMAR","QUINTANA"
"510",2011,"FORMOSA",9,"Gildo Insfrán","Frente para la Victoria","MINISTERIO DE LA COMUNIDAD","M","VILLALBA","VILLALBA"
"511",2011,"FORMOSA",9,"Gildo Insfrán","Frente para la Victoria","MINISTERIO DE ECONOMÍA, HACIENDA Y FINANZAS","M","OSCAR","IBÁÑEZ"
"512",2011,"FORMOSA",9,"Gildo Insfrán","Frente para la Victoria","MINISTERIO DE TURISMO","M","ANDRÉS","ARECO"
"513",2011,"FORMOSA",9,"Gildo Insfrán","Frente para la Victoria","MINISTERIO DE CULTURA Y EDUCACIÓN","M","MARCELO","ZORRILLA"
"514",2011,"FORMOSA",9,"Gildo Insfrán","Frente para la Victoria","MINISTERIO DE DESARROLLO HUMANO","M","LUIS","DÉCIMA"
"515",2011,"FORMOSA",9,"Gildo Insfrán","Frente para la Victoria","MINISTERIO DE GOBIERNO, JUSTICIA, SEGURIDAD Y TRABAJO","M","ABEL","GONZÁLEZ"
"516",2011,"FORMOSA",9,"Gildo Insfrán","Frente para la Victoria","MINISTERIO DE PLANIFICACIÓN, INVERSIÓN, SERVICIOS Y OBRAS PÚBLICAS","M","ALBERTO","JOFRÉ"
"517",2011,"FORMOSA",9,"Gildo Insfrán","Frente para la Victoria","MINISTERIO DE LA PRODUCCIÓN Y AMBIENTE","M","OMAR","QUINTANA"
"518",2012,"FORMOSA",9,"Gildo Insfrán","Frente para la Victoria","MINISTERIO DE LA COMUNIDAD","M","VILLALBA","VILLALBA"
"519",2012,"FORMOSA",9,"Gildo Insfrán","Frente para la Victoria","MINISTERIO DE ECONOMÍA, HACIENDA Y FINANZAS","M","OSCAR","IBÁÑEZ"
"520",2012,"FORMOSA",9,"Gildo Insfrán","Frente para la Victoria","MINISTERIO DE TURISMO","M","ANDRÉS","ARECO"
"521",2012,"FORMOSA",9,"Gildo Insfrán","Frente para la Victoria","MINISTERIO DE CULTURA Y EDUCACIÓN","M","MARCELO","ZORRILLA"
"522",2012,"FORMOSA",9,"Gildo Insfrán","Frente para la Victoria","MINISTERIO DE DESARROLLO HUMANO","M","LUIS","DÉCIMA"
"523",2012,"FORMOSA",9,"Gildo Insfrán","Frente para la Victoria","MINISTERIO DE GOBIERNO, JUSTICIA, SEGURIDAD Y TRABAJO","M","ABEL","GONZÁLEZ"
"524",2012,"FORMOSA",9,"Gildo Insfrán","Frente para la Victoria","MINISTERIO DE PLANIFICACIÓN, INVERSIÓN, SERVICIOS Y OBRAS PÚBLICAS","M","ALBERTO","JOFRÉ"
"525",2012,"FORMOSA",9,"Gildo Insfrán","Frente para la Victoria","MINISTERIO DE LA PRODUCCIÓN Y AMBIENTE","M","OMAR","QUINTANA"
"526",2013,"FORMOSA",9,"Gildo Insfrán","Frente para la Victoria","MINISTERIO DE LA COMUNIDAD","M","VILLALBA","VILLALBA"
"527",2013,"FORMOSA",9,"Gildo Insfrán","Frente para la Victoria","JEFATURA DE GABINETE/SECRETARIA GENERAL","M","EMÉRITO","FERREIRA"
"528",2013,"FORMOSA",9,"Gildo Insfrán","Frente para la Victoria","MINISTERIO DE ECONOMÍA, HACIENDA Y FINANZAS","M","OSCAR","IBÁÑEZ"
"529",2013,"FORMOSA",9,"Gildo Insfrán","Frente para la Victoria","MINISTERIO DE TURISMO","M","ANDRÉS","ARECO"
"530",2013,"FORMOSA",9,"Gildo Insfrán","Frente para la Victoria","MINISTERIO DE CULTURA Y EDUCACIÓN","M","MARCELO","ZORRILLA"
"531",2013,"FORMOSA",9,"Gildo Insfrán","Frente para la Victoria","MINISTERIO DE DESARROLLO HUMANO","M","LUIS","DÉCIMA"
"532",2013,"FORMOSA",9,"Gildo Insfrán","Frente para la Victoria","MINISTERIO DE GOBIERNO, JUSTICIA, SEGURIDAD Y TRABAJO","M","ABEL","GONZÁLEZ"
"533",2013,"FORMOSA",9,"Gildo Insfrán","Frente para la Victoria","MINISTERIO DE PLANIFICACIÓN, INVERSIÓN, SERVICIOS Y OBRAS PÚBLICAS","M","ALBERTO","JOFRÉ"
"534",2013,"FORMOSA",9,"Gildo Insfrán","Frente para la Victoria","MINISTERIO DE LA PRODUCCIÓN Y AMBIENTE","M","OMAR","QUINTANA"
"535",2014,"FORMOSA",9,"Gildo Insfrán","Frente para la Victoria","MINISTERIO DE LA COMUNIDAD","M","VILLALBA","VILLALBA"
